code,name,point_code,note1,note2
K035,腱剥離術（関節鏡下によるものを含む。）,B16 15 11,関節鏡下の場合,
K035-2,腱滑膜切除術,B58 11 00,部位が手指,
K035-2,腱滑膜切除術,BAK 11 00,部位が足趾,
K035-2,腱滑膜切除術,B18 11 00,部位が手足の指以外,
K037,腱縫合術,B16 30 00,,
K037-2,アキレス腱断裂手術,BAJ 30 00,,
K038,腱延長術,B58 30 00,部位が手指,
K038,腱延長術,BAK 30 00,部位が足趾,
K038,腱延長術,B16 30 00,部位が手足指以外,
K039 1,腱移植術（人工腱形成術を含む。） 指（手、足）,B58 43 00,部位が手指,
K039 1,腱移植術（人工腱形成術を含む。） 指（手、足）,B58 34 00,部位が手指で、人工腱形成術を含む場合,
K039 1,腱移植術（人工腱形成術を含む。） 指（手、足）,BAK 43 00,部位が足趾,
K039 1,腱移植術（人工腱形成術を含む。） 指（手、足）,BAK 34 00,部位が足趾で、人工腱形成術を含む場合,
K039 2,腱移植術（人工腱形成術を含む。） その他のもの,B16 34 00,部位が手足指以外で、人工腱形成術を含む場合,
K039 2,腱移植術（人工腱形成術を含む。） その他のもの,B18 43 00,部位が手足指以外,
K040 1,腱移行術 指（手、足）,B58 43 00,部位が手指,
K040 1,腱移行術 指（手、足）,BAK 43 00,部位が足趾,
K040 2,腱移行術 その他のもの,B16 43 00,,
K040-2,指伸筋腱脱臼観血的整復術,B6L 30 00,,
K040-3,腓骨筋腱腱鞘形成術,B18 32 00,,
K042,骨穿孔術,B12 16 04,,
K043 1,骨掻爬術 肩甲骨、上腕、大腿,B25 17 04,部位が肩甲骨,
K043 1,骨掻爬術 肩甲骨、上腕、大腿,B23 17 04,部位が上腕骨,
K043 1,骨掻爬術 肩甲骨、上腕、大腿,B94 17 04,部位が大腿骨,
K043 2,骨掻爬術 前腕、下腿,B44 17 04,部位が前腕骨,
K043 2,骨掻爬術 前腕、下腿,BAD 17 04,部位が下腿骨,
K043 3,骨掻爬術 鎖骨、膝蓋骨、手、足その他,B74 17 04,部位が胸郭,
K043 3,骨掻爬術 鎖骨、膝蓋骨、手、足その他,B24 17 04,部位が鎖骨,
K043 3,骨掻爬術 鎖骨、膝蓋骨、手、足その他,B61 17 04,部位が手根骨,
K043 3,骨掻爬術 鎖骨、膝蓋骨、手、足その他,B68 17 04,部位が中手骨,
K043 3,骨掻爬術 鎖骨、膝蓋骨、手、足その他,B69 17 04,部位が手指骨,
K043 3,骨掻爬術 鎖骨、膝蓋骨、手、足その他,BAB 17 04,部位が膝蓋骨,
K043 3,骨掻爬術 鎖骨、膝蓋骨、手、足その他,BBG 17 04,部位が足根骨,
K043 3,骨掻爬術 鎖骨、膝蓋骨、手、足その他,BBJ 17 04,部位が中足骨,
K043 3,骨掻爬術 鎖骨、膝蓋骨、手、足その他,BBK 17 00,部位が足趾骨,
K044 1,骨折非観血的整復術 肩甲骨、上腕、大腿,B25 30 44,部位が肩甲骨,
K044 1,骨折非観血的整復術 肩甲骨、上腕、大腿,B23 30 44,部位が上腕骨,
K044 1,骨折非観血的整復術 肩甲骨、上腕、大腿,B94 30 44,部位が大腿骨,
K044 2,骨折非観血的整復術 前腕、下腿,B44 30 44,部位が前腕骨,
K044 2,骨折非観血的整復術 前腕、下腿,BAG 30 44,部位が下腿骨,
K044 3,骨折非観血的整復術 鎖骨、膝蓋骨、手、足その他,B74 30 44,部位が胸郭,
K044 3,骨折非観血的整復術 鎖骨、膝蓋骨、手、足その他,B24 30 44,部位が鎖骨,
K044 3,骨折非観血的整復術 鎖骨、膝蓋骨、手、足その他,B61 30 44,部位が手根骨,
K044 3,骨折非観血的整復術 鎖骨、膝蓋骨、手、足その他,B68 30 44,部位が中手骨,
K044 3,骨折非観血的整復術 鎖骨、膝蓋骨、手、足その他,B69 30 44,部位が手指骨,
K044 3,骨折非観血的整復術 鎖骨、膝蓋骨、手、足その他,BAB 30 44,部位が膝蓋骨,
K044 3,骨折非観血的整復術 鎖骨、膝蓋骨、手、足その他,BBH 30 44,部位が足根骨,
K044 3,骨折非観血的整復術 鎖骨、膝蓋骨、手、足その他,BBJ 30 44,部位が中足骨,
K044 3,骨折非観血的整復術 鎖骨、膝蓋骨、手、足その他,BBK 30 44,部位が足趾骨,
K044 3,骨折非観血的整復術 鎖骨、膝蓋骨、手、足その他,C11 30 44,部位が脊椎,
K045 1,骨折経皮的鋼線刺入固定術 肩甲骨、上腕、大腿,B25 30 14,部位が肩甲骨,
K045 1,骨折経皮的鋼線刺入固定術 肩甲骨、上腕、大腿,B23 30 14,部位が上腕骨,
K045 1,骨折経皮的鋼線刺入固定術 肩甲骨、上腕、大腿,B94 30 14,部位が大腿骨,
K045 2,骨折経皮的鋼線刺入固定術 前腕、下腿,B44 30 14,部位が前腕骨,
K045 2,骨折経皮的鋼線刺入固定術 前腕、下腿,BAG 30 14,部位が下腿骨,
K045 3,骨折経皮的鋼線刺入固定術 鎖骨、膝蓋骨、手、足、指（手、足）その他    ,B74 30 14,部位が胸郭,
K045 3,骨折経皮的鋼線刺入固定術 鎖骨、膝蓋骨、手、足、指（手、足）その他    ,B24 30 14,部位が鎖骨,
K045 3,骨折経皮的鋼線刺入固定術 鎖骨、膝蓋骨、手、足、指（手、足）その他    ,B61 30 14,部位が手根骨,
K045 3,骨折経皮的鋼線刺入固定術 鎖骨、膝蓋骨、手、足、指（手、足）その他    ,B68 30 14,部位が中手骨,
K045 3,骨折経皮的鋼線刺入固定術 鎖骨、膝蓋骨、手、足、指（手、足）その他    ,B69 30 14,部位が手指骨,
K045 3,骨折経皮的鋼線刺入固定術 鎖骨、膝蓋骨、手、足、指（手、足）その他    ,BAB 30 14,部位が膝蓋骨,
K045 3,骨折経皮的鋼線刺入固定術 鎖骨、膝蓋骨、手、足、指（手、足）その他    ,BBH 30 14,部位が足根骨,
K045 3,骨折経皮的鋼線刺入固定術 鎖骨、膝蓋骨、手、足、指（手、足）その他    ,BBJ 30 14,部位が中足骨,
K045 3,骨折経皮的鋼線刺入固定術 鎖骨、膝蓋骨、手、足、指（手、足）その他    ,BBK 30 14,部位が足趾骨,
K045 3,骨折経皮的鋼線刺入固定術 鎖骨、膝蓋骨、手、足、指（手、足）その他    ,C11 30 14,部位が脊椎,
K045 3,骨折経皮的鋼線刺入固定術 鎖骨、膝蓋骨、手、足、指（手、足）その他    ,C51 30 14,部位が骨盤,
K046 1,骨折観血的手術 肩甲骨、上腕、大腿,B25 30 04,部位が肩甲骨,
K046 1,骨折観血的手術 肩甲骨、上腕、大腿,B23 30 04,部位が上腕骨,
K046 1,骨折観血的手術 肩甲骨、上腕、大腿,B94 30 04,部位が大腿骨,
K046 2,骨折観血的手術 前腕、下腿、手舟状骨,B44 30 04,部位が前腕骨,
K046 2,骨折観血的手術 前腕、下腿、手舟状骨,B61 30 04,部位が手舟状骨,
K046 2,骨折観血的手術 前腕、下腿、手舟状骨,BAG 30 04,部位が下腿骨,
K046 3,骨折観血的手術 鎖骨、膝蓋骨、手（舟状骨を除く。）、足、指（手、足）その他   ,B74 30 04,部位が胸郭,
K046 3,骨折観血的手術 鎖骨、膝蓋骨、手（舟状骨を除く。）、足、指（手、足）その他   ,B24 30 04,部位が鎖骨,
K046 3,骨折観血的手術 鎖骨、膝蓋骨、手（舟状骨を除く。）、足、指（手、足）その他   ,B61 30 04,部位が手根骨(舟状骨を除く),
K046 3,骨折観血的手術 鎖骨、膝蓋骨、手（舟状骨を除く。）、足、指（手、足）その他   ,B68 30 04,部位が中手骨,
K046 3,骨折観血的手術 鎖骨、膝蓋骨、手（舟状骨を除く。）、足、指（手、足）その他   ,B69 30 04,部位が手指骨,
K046 3,骨折観血的手術 鎖骨、膝蓋骨、手（舟状骨を除く。）、足、指（手、足）その他   ,BAB 30 04,部位が膝蓋骨,
K046 3,骨折観血的手術 鎖骨、膝蓋骨、手（舟状骨を除く。）、足、指（手、足）その他   ,BBH 30 04,部位が足根骨,
K046 3,骨折観血的手術 鎖骨、膝蓋骨、手（舟状骨を除く。）、足、指（手、足）その他   ,BBJ 30 04,部位が中足骨,
K046 3,骨折観血的手術 鎖骨、膝蓋骨、手（舟状骨を除く。）、足、指（手、足）その他   ,BBK 30 04,部位が足趾骨,
K046-2 1,観血的整復固定術（インプラント周囲骨折に対するもの） 肩甲骨、上腕、大腿,B25 30 04,部位が肩甲骨,
K046-2 1,観血的整復固定術（インプラント周囲骨折に対するもの） 肩甲骨、上腕、大腿,B23 30 04,部位が上腕骨,
K046-2 1,観血的整復固定術（インプラント周囲骨折に対するもの） 肩甲骨、上腕、大腿,B94 30 04,部位が大腿骨,
K046-2 2,観血的整復固定術（インプラント周囲骨折に対するもの） 前腕、下腿,B44 30 04,部位が前腕骨,
K046-2 2,観血的整復固定術（インプラント周囲骨折に対するもの） 前腕、下腿,BAG 30 04,部位が下腿骨,
K046-2 3,観血的整復固定術（インプラント周囲骨折に対するもの） 手、足、指（手、足） ,B61 30 04,部位が手根骨,
K046-2 3,観血的整復固定術（インプラント周囲骨折に対するもの） 手、足、指（手、足） ,B68 30 04,部位が中手骨,
